"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест калькулятора калорийности с положительными значениями","205","Тест калькулятора калорийности с положительными значениями","Surefire suite","Wed Oct 08 21:25:40 UTC 2025","broken","Wed Oct 08 21:25:40 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка входа  в аккаунт негативными данными","193","Проверка входа  в аккаунт негативными данными","Surefire suite","Wed Oct 08 21:25:43 UTC 2025","broken","Wed Oct 08 21:25:43 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка сообщения при весе меньше допустимого","198","Проверка сообщения при весе меньше допустимого","Surefire suite","Wed Oct 08 21:25:41 UTC 2025","broken","Wed Oct 08 21:25:41 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Тест калькулятора калорийности с пустыми значениями","5935","Тест калькулятора калорийности с пустыми значениямия","Surefire suite","Wed Oct 08 21:25:34 UTC 2025","broken","Wed Oct 08 21:25:40 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithEmptyFields"
"Проверка копирования тренировки","194","Проверка копирования тренировки","Surefire suite","Wed Oct 08 21:25:42 UTC 2025","broken","Wed Oct 08 21:25:42 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка изменения настроек пользователя","194","Проверка изменения настроек пользователя","Surefire suite","Wed Oct 08 21:25:41 UTC 2025","broken","Wed Oct 08 21:25:41 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","196","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Wed Oct 08 21:25:43 UTC 2025","broken","Wed Oct 08 21:25:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка входа  в аккаунт негативными даннами","191","paramNegativeTest","Surefire suite","Wed Oct 08 21:25:44 UTC 2025","broken","Wed Oct 08 21:25:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка создания тренировки","191","Проверка создания тренировки","Surefire suite","Wed Oct 08 21:25:42 UTC 2025","broken","Wed Oct 08 21:25:42 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","190","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Wed Oct 08 21:25:43 UTC 2025","broken","Wed Oct 08 21:25:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка сообщения при росте меньше допустимого","194","Проверка сообщения при росте меньше допустимого","Surefire suite","Wed Oct 08 21:25:40 UTC 2025","broken","Wed Oct 08 21:25:40 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка сообщения при весе больше допустимого","192","Проверка сообщения при весе больше допустимого","Surefire suite","Wed Oct 08 21:25:40 UTC 2025","broken","Wed Oct 08 21:25:41 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка смены месяца","193","Проверка смены месяца","Surefire suite","Wed Oct 08 21:25:42 UTC 2025","broken","Wed Oct 08 21:25:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка перемещения тренировки","208","Проверка перемещения тренировки","Surefire suite","Wed Oct 08 21:25:43 UTC 2025","broken","Wed Oct 08 21:25:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка входа  в аккаунт негативными даннами","189","paramNegativeTest","Surefire suite","Wed Oct 08 21:25:44 UTC 2025","broken","Wed Oct 08 21:25:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт позитивными данными","189","Проверка входа  в аккаунт позитивными данными","Surefire suite","Wed Oct 08 21:25:43 UTC 2025","broken","Wed Oct 08 21:25:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","194","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Wed Oct 08 21:25:41 UTC 2025","broken","Wed Oct 08 21:25:41 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка сообщения при росте больше допустимого","194","Проверка сообщения при росте больше допустимого","Surefire suite","Wed Oct 08 21:25:40 UTC 2025","broken","Wed Oct 08 21:25:40 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Проверка перехода в настройки профиля","193","Проверка перехода в настройки профиля","Surefire suite","Wed Oct 08 21:25:41 UTC 2025","broken","Wed Oct 08 21:25:42 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка редактирования профиля пользователя","196","Проверка редактирования профиля пользователя","Surefire suite","Wed Oct 08 21:25:41 UTC 2025","broken","Wed Oct 08 21:25:41 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","189","paramNegativeTest","Surefire suite","Wed Oct 08 21:25:44 UTC 2025","broken","Wed Oct 08 21:25:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка выхода из акаунта","196","Проверка выхода из акаунта","Surefire suite","Wed Oct 08 21:25:42 UTC 2025","broken","Wed Oct 08 21:25:42 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка удаления тренировки","190","Проверка удаления тренировки","Surefire suite","Wed Oct 08 21:25:42 UTC 2025","broken","Wed Oct 08 21:25:42 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
