"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения при росте больше допустимого","198","Проверка сообщения при росте больше допустимого","Surefire suite","Wed Oct 08 20:50:17 UTC 2025","broken","Wed Oct 08 20:50:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Проверка копирования тренировки","194","Проверка копирования тренировки","Surefire suite","Wed Oct 08 20:50:19 UTC 2025","broken","Wed Oct 08 20:50:19 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","192","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Wed Oct 08 20:50:20 UTC 2025","broken","Wed Oct 08 20:50:20 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка перехода в настройки профиля","193","Проверка перехода в настройки профиля","Surefire suite","Wed Oct 08 20:50:18 UTC 2025","broken","Wed Oct 08 20:50:18 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка выхода из акаунта","191","Проверка выхода из акаунта","Surefire suite","Wed Oct 08 20:50:18 UTC 2025","broken","Wed Oct 08 20:50:19 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Тест калькулятора калорийности с пустыми значениями","6427","Тест калькулятора калорийности с пустыми значениямия","Surefire suite","Wed Oct 08 20:50:10 UTC 2025","broken","Wed Oct 08 20:50:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithEmptyFields"
"Проверка входа  в аккаунт негативными данными","191","Проверка входа  в аккаунт негативными данными","Surefire suite","Wed Oct 08 20:50:20 UTC 2025","broken","Wed Oct 08 20:50:20 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка входа  в аккаунт негативными даннами","188","paramNegativeTest","Surefire suite","Wed Oct 08 20:50:21 UTC 2025","broken","Wed Oct 08 20:50:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка сообщения при росте меньше допустимого","198","Проверка сообщения при росте меньше допустимого","Surefire suite","Wed Oct 08 20:50:17 UTC 2025","broken","Wed Oct 08 20:50:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","192","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Wed Oct 08 20:50:20 UTC 2025","broken","Wed Oct 08 20:50:20 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка сообщения при весе больше допустимого","195","Проверка сообщения при весе больше допустимого","Surefire suite","Wed Oct 08 20:50:17 UTC 2025","broken","Wed Oct 08 20:50:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","193","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Wed Oct 08 20:50:18 UTC 2025","broken","Wed Oct 08 20:50:18 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка входа  в аккаунт негативными даннами","189","paramNegativeTest","Surefire suite","Wed Oct 08 20:50:21 UTC 2025","broken","Wed Oct 08 20:50:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка редактирования профиля пользователя","195","Проверка редактирования профиля пользователя","Surefire suite","Wed Oct 08 20:50:18 UTC 2025","broken","Wed Oct 08 20:50:18 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","189","paramNegativeTest","Surefire suite","Wed Oct 08 20:50:21 UTC 2025","broken","Wed Oct 08 20:50:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка смены месяца","190","Проверка смены месяца","Surefire suite","Wed Oct 08 20:50:19 UTC 2025","broken","Wed Oct 08 20:50:19 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка удаления тренировки","192","Проверка удаления тренировки","Surefire suite","Wed Oct 08 20:50:19 UTC 2025","broken","Wed Oct 08 20:50:19 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка создания тренировки","191","Проверка создания тренировки","Surefire suite","Wed Oct 08 20:50:19 UTC 2025","broken","Wed Oct 08 20:50:19 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка изменения настроек пользователя","193","Проверка изменения настроек пользователя","Surefire suite","Wed Oct 08 20:50:18 UTC 2025","broken","Wed Oct 08 20:50:18 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Тест калькулятора калорийности с положительными значениями","202","Тест калькулятора калорийности с положительными значениями","Surefire suite","Wed Oct 08 20:50:17 UTC 2025","broken","Wed Oct 08 20:50:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка входа  в аккаунт позитивными данными","189","Проверка входа  в аккаунт позитивными данными","Surefire suite","Wed Oct 08 20:50:20 UTC 2025","broken","Wed Oct 08 20:50:20 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка сообщения при весе меньше допустимого","196","Проверка сообщения при весе меньше допустимого","Surefire suite","Wed Oct 08 20:50:17 UTC 2025","broken","Wed Oct 08 20:50:18 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Проверка перемещения тренировки","197","Проверка перемещения тренировки","Surefire suite","Wed Oct 08 20:50:19 UTC 2025","broken","Wed Oct 08 20:50:20 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
