"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт негативными даннами","201","paramNegativeTest","Surefire suite","Tue Oct 07 13:50:59 UTC 2025","broken","Tue Oct 07 13:50:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка Смены месяца","199","Проверка Смены месяца","Surefire suite","Tue Oct 07 13:50:57 UTC 2025","broken","Tue Oct 07 13:50:57 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","197","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Tue Oct 07 13:50:58 UTC 2025","broken","Tue Oct 07 13:50:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testdatecheckMoveWorkout"
"Проверка входа  в аккаунт негативными даннами","200","paramNegativeTest","Surefire suite","Tue Oct 07 13:50:59 UTC 2025","broken","Tue Oct 07 13:50:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка создания тренировки","198","Проверка создания тренировки","Surefire suite","Tue Oct 07 13:50:57 UTC 2025","broken","Tue Oct 07 13:50:57 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка перехода в настройки профиля","202","Проверка перехода в настройки профиля","Surefire suite","Tue Oct 07 13:50:56 UTC 2025","broken","Tue Oct 07 13:50:56 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка выхода из акаунта","198","Проверка выхода из акаунта","Surefire suite","Tue Oct 07 13:50:56 UTC 2025","broken","Tue Oct 07 13:50:57 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка входа  в аккаунт негативными даннами","197","Проверка входа  в аккаунт негативными даннами","Surefire suite","Tue Oct 07 13:50:58 UTC 2025","broken","Tue Oct 07 13:50:58 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка входа  в аккаунт позитивными даннами","194","Проверка входа  в аккаунт позитивными даннами","Surefire suite","Tue Oct 07 13:50:58 UTC 2025","broken","Tue Oct 07 13:50:58 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка удаления тренировки","197","Проверка удаления тренировки","Surefire suite","Tue Oct 07 13:50:57 UTC 2025","broken","Tue Oct 07 13:50:57 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка редактирования профеля пользователя","207","Проверка редактирования профеля пользователя","Surefire suite","Tue Oct 07 13:50:56 UTC 2025","broken","Tue Oct 07 13:50:56 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка изменения настроек пользователя","5010","Проверка изменения настроек пользователя","Surefire suite","Tue Oct 07 13:50:51 UTC 2025","broken","Tue Oct 07 13:50:56 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка входа  в аккаунт негативными даннами","196","paramNegativeTest","Surefire suite","Tue Oct 07 13:50:59 UTC 2025","broken","Tue Oct 07 13:50:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","203","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Tue Oct 07 13:50:56 UTC 2025","broken","Tue Oct 07 13:50:56 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка перемещения тренировки","196","Проверка перемещения тренировки","Surefire suite","Tue Oct 07 13:50:57 UTC 2025","broken","Tue Oct 07 13:50:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","194","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Tue Oct 07 13:50:58 UTC 2025","broken","Tue Oct 07 13:50:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testcheckMoveWorkout"
"Проверка копирования тренировки","196","Проверка копирования тренировки","Surefire suite","Tue Oct 07 13:50:57 UTC 2025","broken","Tue Oct 07 13:50:57 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
