"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт негативными даннами","194","paramNegativeTest","Surefire suite","Tue Oct 07 13:53:00 UTC 2025","broken","Tue Oct 07 13:53:00 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт негативными даннами","203","paramNegativeTest","Surefire suite","Tue Oct 07 13:53:00 UTC 2025","broken","Tue Oct 07 13:53:00 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка перемещения тренировки","192","Проверка перемещения тренировки","Surefire suite","Tue Oct 07 13:52:59 UTC 2025","broken","Tue Oct 07 13:52:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка входа  в аккаунт негативными даннами","192","paramNegativeTest","Surefire suite","Tue Oct 07 13:53:00 UTC 2025","broken","Tue Oct 07 13:53:00 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт негативными даннами","192","Проверка входа  в аккаунт негативными даннами","Surefire suite","Tue Oct 07 13:52:59 UTC 2025","broken","Tue Oct 07 13:52:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка копирования тренировки","195","Проверка копирования тренировки","Surefire suite","Tue Oct 07 13:52:58 UTC 2025","broken","Tue Oct 07 13:52:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка входа  в аккаунт позитивными даннами","195","Проверка входа  в аккаунт позитивными даннами","Surefire suite","Tue Oct 07 13:52:59 UTC 2025","broken","Tue Oct 07 13:53:00 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка выхода из акаунта","196","Проверка выхода из акаунта","Surefire suite","Tue Oct 07 13:52:58 UTC 2025","broken","Tue Oct 07 13:52:58 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","202","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Tue Oct 07 13:52:57 UTC 2025","broken","Tue Oct 07 13:52:57 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка перехода в настройки профиля","203","Проверка перехода в настройки профиля","Surefire suite","Tue Oct 07 13:52:57 UTC 2025","broken","Tue Oct 07 13:52:58 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка удаления тренировки","196","Проверка удаления тренировки","Surefire suite","Tue Oct 07 13:52:58 UTC 2025","broken","Tue Oct 07 13:52:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка редактирования профеля пользователя","204","Проверка редактирования профеля пользователя","Surefire suite","Tue Oct 07 13:52:57 UTC 2025","broken","Tue Oct 07 13:52:57 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка создания тренировки","195","Проверка создания тренировки","Surefire suite","Tue Oct 07 13:52:58 UTC 2025","broken","Tue Oct 07 13:52:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","193","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Tue Oct 07 13:52:59 UTC 2025","broken","Tue Oct 07 13:52:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testcheckMoveWorkout"
"Проверка Смены месяца","196","Проверка Смены месяца","Surefire suite","Tue Oct 07 13:52:58 UTC 2025","broken","Tue Oct 07 13:52:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка изменения настроек пользователя","3115","Проверка изменения настроек пользователя","Surefire suite","Tue Oct 07 13:52:54 UTC 2025","broken","Tue Oct 07 13:52:57 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","196","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Tue Oct 07 13:52:59 UTC 2025","broken","Tue Oct 07 13:52:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testdatecheckMoveWorkout"
