"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт негативными даннами","1024","paramNegativeTest","Surefire suite","Thu Oct 09 11:47:10 UTC 2025","passed","Thu Oct 09 11:47:11 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт негативными даннами","994","paramNegativeTest","Surefire suite","Thu Oct 09 11:47:11 UTC 2025","passed","Thu Oct 09 11:47:12 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","4797","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Thu Oct 09 11:47:00 UTC 2025","passed","Thu Oct 09 11:47:04 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка выхода из акаунта","2821","Проверка выхода из акаунта","Surefire suite","Thu Oct 09 11:46:20 UTC 2025","passed","Thu Oct 09 11:46:23 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка создания тренировки","4878","Проверка создания тренировки","Surefire suite","Thu Oct 09 11:46:32 UTC 2025","passed","Thu Oct 09 11:46:36 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка редактирования профиля пользователя","17371","Проверка редактирования профиля пользователя","Surefire suite","Thu Oct 09 11:45:37 UTC 2025","passed","Thu Oct 09 11:45:54 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Тест калькулятора калорийности с положительными значениями","7970","Тест калькулятора калорийности с положительными значениями","Surefire suite","Thu Oct 09 11:44:50 UTC 2025","passed","Thu Oct 09 11:44:58 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка сообщения при росте больше допустимого","3402","Проверка сообщения при росте больше допустимого","Surefire suite","Thu Oct 09 11:44:58 UTC 2025","passed","Thu Oct 09 11:45:02 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Тест калькулятора калорийности с пустыми значениями","13665","Тест калькулятора калорийности с пустыми значениямия","Surefire suite","Thu Oct 09 11:44:36 UTC 2025","passed","Thu Oct 09 11:44:50 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithEmptyFields"
"Проверка сообщения при росте меньше допустимого","8572","Проверка сообщения при росте меньше допустимого","Surefire suite","Thu Oct 09 11:45:02 UTC 2025","passed","Thu Oct 09 11:45:10 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","4196","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Thu Oct 09 11:46:55 UTC 2025","passed","Thu Oct 09 11:47:00 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
