"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения при весе меньше допустимого","3262","Проверка сообщения при весе меньше допустимого","Surefire suite","Wed Oct 08 21:32:20 UTC 2025","passed","Wed Oct 08 21:32:23 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Тест калькулятора калорийности с положительными значениями","3611","Тест калькулятора калорийности с положительными значениями","Surefire suite","Wed Oct 08 21:32:05 UTC 2025","passed","Wed Oct 08 21:32:09 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка сообщения при росте меньше допустимого","3862","Проверка сообщения при росте меньше допустимого","Surefire suite","Wed Oct 08 21:32:12 UTC 2025","passed","Wed Oct 08 21:32:16 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка входа  в аккаунт негативными данными","1311","Проверка входа  в аккаунт негативными данными","Surefire suite","Wed Oct 08 21:33:55 UTC 2025","passed","Wed Oct 08 21:33:56 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка сообщения при весе больше допустимого","3423","Проверка сообщения при весе больше допустимого","Surefire suite","Wed Oct 08 21:32:16 UTC 2025","passed","Wed Oct 08 21:32:20 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка создания тренировки","4616","Проверка создания тренировки","Surefire suite","Wed Oct 08 21:33:28 UTC 2025","passed","Wed Oct 08 21:33:33 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка перемещения тренировки","4859","Проверка перемещения тренировки","Surefire suite","Wed Oct 08 21:33:42 UTC 2025","passed","Wed Oct 08 21:33:47 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","16655","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Wed Oct 08 21:32:55 UTC 2025","passed","Wed Oct 08 21:33:12 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка редактирования профиля пользователя","15973","Проверка редактирования профиля пользователя","Surefire suite","Wed Oct 08 21:32:39 UTC 2025","passed","Wed Oct 08 21:32:55 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","1005","paramNegativeTest","Surefire suite","Wed Oct 08 21:34:02 UTC 2025","passed","Wed Oct 08 21:34:03 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка смены месяца","4044","Проверка смены месяца","Surefire suite","Wed Oct 08 21:33:38 UTC 2025","passed","Wed Oct 08 21:33:42 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","3773","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Wed Oct 08 21:33:47 UTC 2025","passed","Wed Oct 08 21:33:51 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка изменения настроек пользователя","15571","Проверка изменения настроек пользователя","Surefire suite","Wed Oct 08 21:32:23 UTC 2025","passed","Wed Oct 08 21:32:39 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка входа  в аккаунт негативными даннами","962","paramNegativeTest","Surefire suite","Wed Oct 08 21:34:03 UTC 2025","passed","Wed Oct 08 21:34:04 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка выхода из акаунта","2585","Проверка выхода из акаунта","Surefire suite","Wed Oct 08 21:33:20 UTC 2025","passed","Wed Oct 08 21:33:23 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка входа  в аккаунт позитивными данными","2881","Проверка входа  в аккаунт позитивными данными","Surefire suite","Wed Oct 08 21:33:56 UTC 2025","passed","Wed Oct 08 21:33:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","4133","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Wed Oct 08 21:33:51 UTC 2025","passed","Wed Oct 08 21:33:55 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка удаления тренировки","4884","Проверка удаления тренировки","Surefire suite","Wed Oct 08 21:33:33 UTC 2025","passed","Wed Oct 08 21:33:38 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка копирования тренировки","5507","Проверка копирования тренировки","Surefire suite","Wed Oct 08 21:33:23 UTC 2025","passed","Wed Oct 08 21:33:28 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
