"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","200","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Wed Oct 08 20:24:29 UTC 2025","broken","Wed Oct 08 20:24:30 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","192","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Wed Oct 08 20:24:29 UTC 2025","broken","Wed Oct 08 20:24:29 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка изменения настроек пользователя","195","Проверка изменения настроек пользователя","Surefire suite","Wed Oct 08 20:24:27 UTC 2025","broken","Wed Oct 08 20:24:27 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Тест калькулятора калорийности с положительными значениями","212","Тест калькулятора калорийности с положительными значениями","Surefire suite","Wed Oct 08 20:24:26 UTC 2025","broken","Wed Oct 08 20:24:26 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка редактирования профиля пользователя","198","Проверка редактирования профиля пользователя","Surefire suite","Wed Oct 08 20:24:27 UTC 2025","broken","Wed Oct 08 20:24:28 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","194","paramNegativeTest","Surefire suite","Wed Oct 08 20:24:30 UTC 2025","broken","Wed Oct 08 20:24:30 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка сообщения при росте меньше допустимого","198","Проверка сообщения при росте меньше допустимого","Surefire suite","Wed Oct 08 20:24:27 UTC 2025","broken","Wed Oct 08 20:24:27 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка входа  в аккаунт негативными данными","192","Проверка входа  в аккаунт негативными данными","Surefire suite","Wed Oct 08 20:24:30 UTC 2025","broken","Wed Oct 08 20:24:30 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка сообщения при росте больше допустимого","203","Проверка сообщения при росте больше допустимого","Surefire suite","Wed Oct 08 20:24:26 UTC 2025","broken","Wed Oct 08 20:24:27 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Проверка создания тренировки","192","Проверка создания тренировки","Surefire suite","Wed Oct 08 20:24:28 UTC 2025","broken","Wed Oct 08 20:24:29 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка сообщения при весе меньше допустимого","194","Проверка сообщения при весе меньше допустимого","Surefire suite","Wed Oct 08 20:24:27 UTC 2025","broken","Wed Oct 08 20:24:27 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Проверка копирования тренировки","195","Проверка копирования тренировки","Surefire suite","Wed Oct 08 20:24:28 UTC 2025","broken","Wed Oct 08 20:24:28 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка смены месяца","193","Проверка смены месяца","Surefire suite","Wed Oct 08 20:24:29 UTC 2025","broken","Wed Oct 08 20:24:29 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка входа  в аккаунт позитивными данными","194","Проверка входа  в аккаунт позитивными данными","Surefire suite","Wed Oct 08 20:24:30 UTC 2025","broken","Wed Oct 08 20:24:30 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
