"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода в настройки профиля","6866","Проверка перехода в настройки профиля","Surefire suite","Tue Oct 07 14:11:44 UTC 2025","passed","Tue Oct 07 14:11:50 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка создания тренировки","5152","Проверка создания тренировки","Surefire suite","Tue Oct 07 14:11:59 UTC 2025","passed","Tue Oct 07 14:12:04 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка изменения настроек пользователя","25788","Проверка изменения настроек пользователя","Surefire suite","Tue Oct 07 14:10:39 UTC 2025","passed","Tue Oct 07 14:11:05 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка удаления тренировки","4248","Проверка удаления тренировки","Surefire suite","Tue Oct 07 14:12:04 UTC 2025","passed","Tue Oct 07 14:12:08 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","2781","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Tue Oct 07 14:12:17 UTC 2025","passed","Tue Oct 07 14:12:20 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testcheckMoveWorkout"
"Проверка входа  в аккаунт позитивными даннами","1179","Проверка входа  в аккаунт позитивными даннами","Surefire suite","Tue Oct 07 14:12:23 UTC 2025","passed","Tue Oct 07 14:12:25 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа  в аккаунт негативными даннами","739","paramNegativeTest","Surefire suite","Tue Oct 07 14:12:26 UTC 2025","passed","Tue Oct 07 14:12:26 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт негативными даннами","778","Проверка входа  в аккаунт негативными даннами","Surefire suite","Tue Oct 07 14:12:23 UTC 2025","passed","Tue Oct 07 14:12:23 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка входа  в аккаунт негативными даннами","724","paramNegativeTest","Surefire suite","Tue Oct 07 14:12:26 UTC 2025","passed","Tue Oct 07 14:12:27 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка выхода из акаунта","2529","Проверка выхода из акаунта","Surefire suite","Tue Oct 07 14:11:50 UTC 2025","passed","Tue Oct 07 14:11:53 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","18838","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Tue Oct 07 14:11:25 UTC 2025","passed","Tue Oct 07 14:11:43 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка редактирования профеля пользователя","19518","Проверка редактирования профеля пользователя","Surefire suite","Tue Oct 07 14:11:05 UTC 2025","passed","Tue Oct 07 14:11:25 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","718","paramNegativeTest","Surefire suite","Tue Oct 07 14:12:27 UTC 2025","passed","Tue Oct 07 14:12:28 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка Смены месяца","4617","Проверка Смены месяца","Surefire suite","Tue Oct 07 14:12:08 UTC 2025","passed","Tue Oct 07 14:12:13 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка копирования тренировки","5491","Проверка копирования тренировки","Surefire suite","Tue Oct 07 14:11:53 UTC 2025","passed","Tue Oct 07 14:11:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","2899","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Tue Oct 07 14:12:20 UTC 2025","passed","Tue Oct 07 14:12:23 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testdatecheckMoveWorkout"
"Проверка перемещения тренировки","3801","Проверка перемещения тренировки","Surefire suite","Tue Oct 07 14:12:13 UTC 2025","passed","Tue Oct 07 14:12:17 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
