"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт позитивными данными","1699","Проверка входа  в аккаунт позитивными данными","Surefire suite","Thu Oct 09 09:02:00 UTC 2025","passed","Thu Oct 09 09:02:01 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка смены месяца","3473","Проверка смены месяца","Surefire suite","Thu Oct 09 09:01:44 UTC 2025","passed","Thu Oct 09 09:01:47 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка удаления тренировки","4095","Проверка удаления тренировки","Surefire suite","Thu Oct 09 09:01:40 UTC 2025","passed","Thu Oct 09 09:01:44 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","3479","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Thu Oct 09 09:01:55 UTC 2025","passed","Thu Oct 09 09:01:59 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка сообщения при росте меньше допустимого","2454","Проверка сообщения при росте меньше допустимого","Surefire suite","Thu Oct 09 09:00:29 UTC 2025","passed","Thu Oct 09 09:00:31 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Тест калькулятора калорийности с пустыми значениями","138085","Тест калькулятора калорийности с пустыми значениямия","Surefire suite","Thu Oct 09 08:57:59 UTC 2025","broken","Thu Oct 09 09:00:17 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithEmptyFields"
"Проверка перехода в настройки профиля","6160","Проверка перехода в настройки профиля","Surefire suite","Thu Oct 09 09:01:22 UTC 2025","passed","Thu Oct 09 09:01:28 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка сообщения при росте больше допустимого","2587","Проверка сообщения при росте больше допустимого","Surefire suite","Thu Oct 09 09:00:26 UTC 2025","passed","Thu Oct 09 09:00:29 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Тест калькулятора калорийности с положительными значениями","8397","Тест калькулятора калорийности с положительными значениями","Surefire suite","Thu Oct 09 09:00:17 UTC 2025","passed","Thu Oct 09 09:00:26 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка выхода из акаунта","1969","Проверка выхода из акаунта","Surefire suite","Thu Oct 09 09:01:29 UTC 2025","passed","Thu Oct 09 09:01:31 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка входа  в аккаунт негативными даннами","783","paramNegativeTest","Surefire suite","Thu Oct 09 09:02:02 UTC 2025","passed","Thu Oct 09 09:02:03 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка изменения настроек пользователя","15112","Проверка изменения настроек пользователя","Surefire suite","Thu Oct 09 09:00:36 UTC 2025","passed","Thu Oct 09 09:00:51 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка перемещения тренировки","4355","Проверка перемещения тренировки","Surefire suite","Thu Oct 09 09:01:47 UTC 2025","passed","Thu Oct 09 09:01:52 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","15230","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Thu Oct 09 09:01:07 UTC 2025","passed","Thu Oct 09 09:01:22 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка сообщения при весе больше допустимого","2499","Проверка сообщения при весе больше допустимого","Surefire suite","Thu Oct 09 09:00:31 UTC 2025","passed","Thu Oct 09 09:00:34 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка копирования тренировки","5493","Проверка копирования тренировки","Surefire suite","Thu Oct 09 09:01:31 UTC 2025","passed","Thu Oct 09 09:01:36 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка входа  в аккаунт негативными даннами","751","paramNegativeTest","Surefire suite","Thu Oct 09 09:02:03 UTC 2025","passed","Thu Oct 09 09:02:04 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка создания тренировки","3365","Проверка создания тренировки","Surefire suite","Thu Oct 09 09:01:36 UTC 2025","passed","Thu Oct 09 09:01:40 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка редактирования профиля пользователя","15534","Проверка редактирования профиля пользователя","Surefire suite","Thu Oct 09 09:00:51 UTC 2025","passed","Thu Oct 09 09:01:07 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка входа  в аккаунт негативными даннами","773","paramNegativeTest","Surefire suite","Thu Oct 09 09:02:04 UTC 2025","passed","Thu Oct 09 09:02:05 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка сообщения при весе меньше допустимого","2446","Проверка сообщения при весе меньше допустимого","Surefire suite","Thu Oct 09 09:00:34 UTC 2025","passed","Thu Oct 09 09:00:36 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","3425","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Thu Oct 09 09:01:52 UTC 2025","passed","Thu Oct 09 09:01:55 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка входа  в аккаунт негативными данными","843","Проверка входа  в аккаунт негативными данными","Surefire suite","Thu Oct 09 09:01:59 UTC 2025","passed","Thu Oct 09 09:02:00 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
