"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт негативными даннами","192","paramNegativeTest","Surefire suite","Wed Oct 08 20:18:34 UTC 2025","broken","Wed Oct 08 20:18:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа  в аккаунт негативными данными","191","Проверка входа  в аккаунт негативными данными","Surefire suite","Wed Oct 08 20:18:33 UTC 2025","broken","Wed Oct 08 20:18:33 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка перемещения тренировки","200","Проверка перемещения тренировки","Surefire suite","Wed Oct 08 20:18:33 UTC 2025","broken","Wed Oct 08 20:18:33 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка сообщения при росте меньше допустимого","195","Проверка сообщения при росте меньше допустимого","Surefire suite","Wed Oct 08 20:18:30 UTC 2025","broken","Wed Oct 08 20:18:30 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightBelowMinimumMessage"
"Проверка перехода в настройки профиля","193","Проверка перехода в настройки профиля","Surefire suite","Wed Oct 08 20:18:32 UTC 2025","broken","Wed Oct 08 20:18:32 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка создания тренировки","195","Проверка создания тренировки","Surefire suite","Wed Oct 08 20:18:32 UTC 2025","broken","Wed Oct 08 20:18:32 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","197","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Wed Oct 08 20:18:33 UTC 2025","broken","Wed Oct 08 20:18:33 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithNoActiveSport"
"Проверка смены месяца","195","Проверка смены месяца","Surefire suite","Wed Oct 08 20:18:32 UTC 2025","broken","Wed Oct 08 20:18:33 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка сообщения при весе больше допустимого","198","Проверка сообщения при весе больше допустимого","Surefire suite","Wed Oct 08 20:18:30 UTC 2025","broken","Wed Oct 08 20:18:31 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка сообщения при росте больше допустимого","202","Проверка сообщения при росте больше допустимого","Surefire suite","Wed Oct 08 20:18:30 UTC 2025","broken","Wed Oct 08 20:18:30 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testHeightAboveMaximumMessage"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","196","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Wed Oct 08 20:18:31 UTC 2025","broken","Wed Oct 08 20:18:31 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Тест калькулятора калорийности с положительными значениями","203","Тест калькулятора калорийности с положительными значениями","Surefire suite","Wed Oct 08 20:18:30 UTC 2025","broken","Wed Oct 08 20:18:30 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithPositiveCred"
"Проверка входа  в аккаунт негативными даннами","193","paramNegativeTest","Surefire suite","Wed Oct 08 20:18:34 UTC 2025","broken","Wed Oct 08 20:18:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","190","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Wed Oct 08 20:18:33 UTC 2025","broken","Wed Oct 08 20:18:33 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","createQuickWorkoutWithEmptyDate"
"Проверка выхода из акаунта","192","Проверка выхода из акаунта","Surefire suite","Wed Oct 08 20:18:32 UTC 2025","broken","Wed Oct 08 20:18:32 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка изменения настроек пользователя","200","Проверка изменения настроек пользователя","Surefire suite","Wed Oct 08 20:18:31 UTC 2025","broken","Wed Oct 08 20:18:31 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка редактирования профиля пользователя","195","Проверка редактирования профиля пользователя","Surefire suite","Wed Oct 08 20:18:31 UTC 2025","broken","Wed Oct 08 20:18:31 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Тест калькулятора калорийности с пустыми значениями","4999","Тест калькулятора калорийности с пустыми значениямия","Surefire suite","Wed Oct 08 20:18:25 UTC 2025","broken","Wed Oct 08 20:18:30 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","checkCalculatorWithEmptyFields"
"Проверка копирования тренировки","194","Проверка копирования тренировки","Surefire suite","Wed Oct 08 20:18:32 UTC 2025","broken","Wed Oct 08 20:18:32 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка входа  в аккаунт позитивными данными","190","Проверка входа  в аккаунт позитивными данными","Surefire suite","Wed Oct 08 20:18:33 UTC 2025","broken","Wed Oct 08 20:18:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
